fecha,cod_ine,CCAA,total
2020-03-16,1,Andalucía,0
2020-03-17,1,Andalucía,0
2020-03-18,1,Andalucía,38
2020-03-19,1,Andalucía,33
2020-03-20,1,Andalucía,72
2020-03-21,1,Andalucía,72
2020-03-22,1,Andalucía,38
2020-03-23,1,Andalucía,50
2020-03-24,1,Andalucía,66
2020-03-25,1,Andalucía,71
2020-03-26,1,Andalucía,77
2020-03-27,1,Andalucía,92
2020-03-28,1,Andalucía,139
2020-03-29,1,Andalucía,148
2020-03-30,1,Andalucía,155
2020-03-31,1,Andalucía,160
2020-04-01,1,Andalucía,182
2020-03-16,2,Aragón,0
2020-03-17,2,Aragón,0
2020-03-18,2,Aragón,0
2020-03-19,2,Aragón,0
2020-03-20,2,Aragón,0
2020-03-21,2,Aragón,0
2020-03-22,2,Aragón,3
2020-03-23,2,Aragón,3
2020-03-24,2,Aragón,3
2020-03-25,2,Aragón,4
2020-03-26,2,Aragón,4
2020-03-27,2,Aragón,8
2020-03-28,2,Aragón,8
2020-03-29,2,Aragón,8
2020-03-30,2,Aragón,174
2020-03-31,2,Aragón,204
2020-04-01,2,Aragón,257
2020-03-16,3,Asturias,3
2020-03-17,3,Asturias,3
2020-03-18,3,Asturias,4
2020-03-19,3,Asturias,4
2020-03-20,3,Asturias,12
2020-03-21,3,Asturias,16
2020-03-22,3,Asturias,20
2020-03-23,3,Asturias,21
2020-03-24,3,Asturias,30
2020-03-25,3,Asturias,35
2020-03-26,3,Asturias,40
2020-03-27,3,Asturias,52
2020-03-28,3,Asturias,65
2020-03-29,3,Asturias,76
2020-03-30,3,Asturias,78
2020-03-31,3,Asturias,90
2020-04-01,3,Asturias,109
2020-03-16,4,Baleares,1
2020-03-17,4,Baleares,1
2020-03-18,4,Baleares,4
2020-03-19,4,Baleares,6
2020-03-20,4,Baleares,10
2020-03-21,4,Baleares,11
2020-03-22,4,Baleares,17
2020-03-23,4,Baleares,18
2020-03-24,4,Baleares,19
2020-03-25,4,Baleares,28
2020-03-26,4,Baleares,39
2020-03-27,4,Baleares,67
2020-03-28,4,Baleares,80
2020-03-29,4,Baleares,82
2020-03-30,4,Baleares,100
2020-03-31,4,Baleares,111
2020-04-01,4,Baleares,170
2020-03-16,5,Canarias,7
2020-03-17,5,Canarias,8
2020-03-18,5,Canarias,8
2020-03-19,5,Canarias,9
2020-03-20,5,Canarias,6
2020-03-21,5,Canarias,7
2020-03-22,5,Canarias,7
2020-03-23,5,Canarias,7
2020-03-24,5,Canarias,8
2020-03-25,5,Canarias,15
2020-03-26,5,Canarias,18
2020-03-27,5,Canarias,20
2020-03-28,5,Canarias,25
2020-03-29,5,Canarias,30
2020-03-30,5,Canarias,32
2020-03-31,5,Canarias,57
2020-04-01,5,Canarias,77
2020-03-16,6,Cantabria,10
2020-03-17,6,Cantabria,10
2020-03-18,6,Cantabria,10
2020-03-19,6,Cantabria,10
2020-03-20,6,Cantabria,10
2020-03-21,6,Cantabria,11
2020-03-22,6,Cantabria,11
2020-03-23,6,Cantabria,11
2020-03-24,6,Cantabria,12
2020-03-25,6,Cantabria,12
2020-03-26,6,Cantabria,14
2020-03-27,6,Cantabria,19
2020-03-28,6,Cantabria,21
2020-03-29,6,Cantabria,25
2020-03-30,6,Cantabria,24
2020-03-31,6,Cantabria,35
2020-04-01,6,Cantabria,43
2020-03-16,8,Castilla-La Mancha,12
2020-03-17,8,Castilla-La Mancha,12
2020-03-18,8,Castilla-La Mancha,15
2020-03-19,8,Castilla-La Mancha,27
2020-03-20,8,Castilla-La Mancha,34
2020-03-21,8,Castilla-La Mancha,38
2020-03-22,8,Castilla-La Mancha,48
2020-03-23,8,Castilla-La Mancha,51
2020-03-24,8,Castilla-La Mancha,53
2020-03-25,8,Castilla-La Mancha,71
2020-03-26,8,Castilla-La Mancha,95
2020-03-27,8,Castilla-La Mancha,153
2020-03-28,8,Castilla-La Mancha,197
2020-03-29,8,Castilla-La Mancha,236
2020-03-30,8,Castilla-La Mancha,252
2020-03-31,8,Castilla-La Mancha,296
2020-04-01,8,Castilla-La Mancha,397
2020-03-16,7,Castilla y León,5
2020-03-17,7,Castilla y León,5
2020-03-18,7,Castilla y León,5
2020-03-19,7,Castilla y León,27
2020-03-20,7,Castilla y León,37
2020-03-21,7,Castilla y León,54
2020-03-22,7,Castilla y León,89
2020-03-23,7,Castilla y León,117
2020-03-24,7,Castilla y León,140
2020-03-25,7,Castilla y León,213
2020-03-26,7,Castilla y León,308
2020-03-27,7,Castilla y León,423
2020-03-28,7,Castilla y León,585
2020-03-29,7,Castilla y León,752
2020-03-30,7,Castilla y León,871
2020-03-31,7,Castilla y León,1028
2020-04-01,7,Castilla y León,1259
2020-03-16,9,Cataluña,0
2020-03-17,9,Cataluña,0
2020-03-18,9,Cataluña,0
2020-03-19,9,Cataluña,0
2020-03-20,9,Cataluña,150
2020-03-21,9,Cataluña,150
2020-03-22,9,Cataluña,150
2020-03-23,9,Cataluña,644
2020-03-24,9,Cataluña,728
2020-03-25,9,Cataluña,1274
2020-03-26,9,Cataluña,1697
2020-03-27,9,Cataluña,2348
2020-03-28,9,Cataluña,3106
2020-03-29,9,Cataluña,3455
2020-03-30,9,Cataluña,4125
2020-03-31,9,Cataluña,4966
2020-04-01,9,Cataluña,5701
2020-03-16,18,Ceuta,0
2020-03-17,18,Ceuta,0
2020-03-18,18,Ceuta,0
2020-03-19,18,Ceuta,0
2020-03-20,18,Ceuta,0
2020-03-21,18,Ceuta,0
2020-03-22,18,Ceuta,0
2020-03-23,18,Ceuta,0
2020-03-24,18,Ceuta,0
2020-03-25,18,Ceuta,0
2020-03-26,18,Ceuta,0
2020-03-27,18,Ceuta,0
2020-03-28,18,Ceuta,0
2020-03-29,18,Ceuta,0
2020-03-30,18,Ceuta,0
2020-03-31,18,Ceuta,0
2020-04-01,18,Ceuta,0
2020-03-16,10,C. Valenciana,2
2020-03-17,10,C. Valenciana,12
2020-03-18,10,C. Valenciana,16
2020-03-19,10,C. Valenciana,19
2020-03-20,10,C. Valenciana,20
2020-03-21,10,C. Valenciana,25
2020-03-22,10,C. Valenciana,30
2020-03-23,10,C. Valenciana,36
2020-03-24,10,C. Valenciana,37
2020-03-25,10,C. Valenciana,44
2020-03-26,10,C. Valenciana,57
2020-03-27,10,C. Valenciana,73
2020-03-28,10,C. Valenciana,92
2020-03-29,10,C. Valenciana,161
2020-03-30,10,C. Valenciana,185
2020-03-31,10,C. Valenciana,200
2020-04-01,10,C. Valenciana,240
2020-03-16,11,Extremadura,4
2020-03-17,11,Extremadura,5
2020-03-18,11,Extremadura,6
2020-03-19,11,Extremadura,6
2020-03-20,11,Extremadura,7
2020-03-21,11,Extremadura,8
2020-03-22,11,Extremadura,8
2020-03-23,11,Extremadura,6
2020-03-24,11,Extremadura,8
2020-03-25,11,Extremadura,8
2020-03-26,11,Extremadura,24
2020-03-27,11,Extremadura,33
2020-03-28,11,Extremadura,49
2020-03-29,11,Extremadura,51
2020-03-30,11,Extremadura,60
2020-03-31,11,Extremadura,91
2020-04-01,11,Extremadura,113
2020-03-16,12,Galicia,4
2020-03-17,12,Galicia,7
2020-03-18,12,Galicia,7
2020-03-19,12,Galicia,4
2020-03-20,12,Galicia,5
2020-03-21,12,Galicia,6
2020-03-22,12,Galicia,16
2020-03-23,12,Galicia,19
2020-03-24,12,Galicia,19
2020-03-25,12,Galicia,25
2020-03-26,12,Galicia,47
2020-03-27,12,Galicia,67
2020-03-28,12,Galicia,95
2020-03-29,12,Galicia,153
2020-03-30,12,Galicia,168
2020-03-31,12,Galicia,187
2020-04-01,12,Galicia,259
2020-03-16,13,Madrid,474
2020-03-17,13,Madrid,951
2020-03-18,13,Madrid,951
2020-03-19,13,Madrid,941
2020-03-20,13,Madrid,1186
2020-03-21,13,Madrid,1542
2020-03-22,13,Madrid,1899
2020-03-23,13,Madrid,2063
2020-03-24,13,Madrid,2291
2020-03-25,13,Madrid,3031
2020-03-26,13,Madrid,3882
2020-03-27,13,Madrid,5044
2020-03-28,13,Madrid,6326
2020-03-29,13,Madrid,7491
2020-03-30,13,Madrid,8301
2020-03-31,13,Madrid,9330
2020-04-01,13,Madrid,10827
2020-03-16,19,Melilla,0
2020-03-17,19,Melilla,0
2020-03-18,19,Melilla,0
2020-03-19,19,Melilla,0
2020-03-20,19,Melilla,0
2020-03-21,19,Melilla,0
2020-03-22,19,Melilla,0
2020-03-23,19,Melilla,0
2020-03-24,19,Melilla,0
2020-03-25,19,Melilla,0
2020-03-26,19,Melilla,0
2020-03-27,19,Melilla,0
2020-03-28,19,Melilla,0
2020-03-29,19,Melilla,0
2020-03-30,19,Melilla,0
2020-03-31,19,Melilla,0
2020-04-01,19,Melilla,0
2020-03-16,14,Murcia,1
2020-03-17,14,Murcia,1
2020-03-18,14,Murcia,1
2020-03-19,14,Murcia,1
2020-03-20,14,Murcia,1
2020-03-21,14,Murcia,1
2020-03-22,14,Murcia,1
2020-03-23,14,Murcia,1
2020-03-24,14,Murcia,1
2020-03-25,14,Murcia,4
2020-03-26,14,Murcia,9
2020-03-27,14,Murcia,12
2020-03-28,14,Murcia,12
2020-03-29,14,Murcia,16
2020-03-30,14,Murcia,17
2020-03-31,14,Murcia,20
2020-04-01,14,Murcia,43
2020-03-16,15,Navarra,0
2020-03-17,15,Navarra,0
2020-03-18,15,Navarra,0
2020-03-19,15,Navarra,0
2020-03-20,15,Navarra,1
2020-03-21,15,Navarra,1
2020-03-22,15,Navarra,4
2020-03-23,15,Navarra,7
2020-03-24,15,Navarra,11
2020-03-25,15,Navarra,23
2020-03-26,15,Navarra,35
2020-03-27,15,Navarra,70
2020-03-28,15,Navarra,98
2020-03-29,15,Navarra,125
2020-03-30,15,Navarra,161
2020-03-31,15,Navarra,192
2020-04-01,15,Navarra,236
2020-03-16,16,País Vasco,5
2020-03-17,16,País Vasco,11
2020-03-18,16,País Vasco,14
2020-03-19,16,País Vasco,18
2020-03-20,16,País Vasco,21
2020-03-21,16,País Vasco,165
2020-03-22,16,País Vasco,216
2020-03-23,16,País Vasco,283
2020-03-24,16,País Vasco,344
2020-03-25,16,País Vasco,466
2020-03-26,16,País Vasco,621
2020-03-27,16,País Vasco,814
2020-03-28,16,País Vasco,1023
2020-03-29,16,País Vasco,1503
2020-03-30,16,País Vasco,1646
2020-03-31,16,País Vasco,1796
2020-04-01,16,País Vasco,2165
2020-03-16,17,La Rioja,2
2020-03-17,17,La Rioja,2
2020-03-18,17,La Rioja,2
2020-03-19,17,La Rioja,2
2020-03-20,17,La Rioja,13
2020-03-21,17,La Rioja,18
2020-03-22,17,La Rioja,18
2020-03-23,17,La Rioja,18
2020-03-24,17,La Rioja,24
2020-03-25,17,La Rioja,43
2020-03-26,17,La Rioja,48
2020-03-27,17,La Rioja,62
2020-03-28,17,La Rioja,364
2020-03-29,17,La Rioja,397
2020-03-30,17,La Rioja,431
2020-03-31,17,La Rioja,496
2020-04-01,17,La Rioja,569
2020-03-16,0,Total,530
2020-03-17,0,Total,1028
2020-03-18,0,Total,1081
2020-03-19,0,Total,1107
2020-03-20,0,Total,1585
2020-03-21,0,Total,2125
2020-03-22,0,Total,2575
2020-03-23,0,Total,3355
2020-03-24,0,Total,3794
2020-03-25,0,Total,5367
2020-03-26,0,Total,7015
2020-03-27,0,Total,9357
2020-03-28,0,Total,12285
2020-03-29,0,Total,14709
2020-03-30,0,Total,16780
2020-03-31,0,Total,19259
2020-04-01,0,Total,22647
