fecha,cod_ine,CCAA,total
2020-02-27,1,Andalucía,1
2020-02-28,1,Andalucía,6
2020-02-29,1,Andalucía,8
2020-03-01,1,Andalucía,12
2020-03-02,1,Andalucía,12
2020-03-03,1,Andalucía,13
2020-03-04,1,Andalucía,13
2020-03-05,1,Andalucía,12
2020-03-06,1,Andalucía,21
2020-03-07,1,Andalucía,27
2020-03-08,1,Andalucía,35
2020-03-09,1,Andalucía,54
2020-03-10,1,Andalucía,71
2020-03-11,1,Andalucía,90
2020-03-12,1,Andalucía,115
2020-03-13,1,Andalucía,219
2020-03-14,1,Andalucía,269
2020-03-15,1,Andalucía,437
2020-03-16,1,Andalucía,554
2020-03-17,1,Andalucía,683
2020-03-18,1,Andalucía,859
2020-03-19,1,Andalucía,1008
2020-03-20,1,Andalucía,1287
2020-03-21,1,Andalucía,1515
2020-03-22,1,Andalucía,1725
2020-03-23,1,Andalucía,1961
2020-03-24,1,Andalucía,2471
2020-03-25,1,Andalucía,3010
2020-03-26,1,Andalucía,3406
2020-03-27,1,Andalucía,3793
2020-03-28,1,Andalucía,4277
2020-03-29,1,Andalucía,4682
2020-03-30,1,Andalucía,5405
2020-03-31,1,Andalucía,5818
2020-04-01,1,Andalucía,6392
2020-04-02,1,Andalucía,6972
2020-04-03,1,Andalucía,7374
2020-04-04,1,Andalucía,7869
2020-02-27,2,Aragón,0
2020-02-28,2,Aragón,1
2020-02-29,2,Aragón,1
2020-03-01,2,Aragón,0
2020-03-02,2,Aragón,0
2020-03-03,2,Aragón,0
2020-03-04,2,Aragón,0
2020-03-05,2,Aragón,1
2020-03-06,2,Aragón,6
2020-03-07,2,Aragón,11
2020-03-08,2,Aragón,13
2020-03-09,2,Aragón,13
2020-03-10,2,Aragón,38
2020-03-11,2,Aragón,45
2020-03-12,2,Aragón,64
2020-03-13,2,Aragón,80
2020-03-14,2,Aragón,80
2020-03-15,2,Aragón,147
2020-03-16,2,Aragón,174
2020-03-17,2,Aragón,207
2020-03-18,2,Aragón,226
2020-03-19,2,Aragón,281
2020-03-20,2,Aragón,360
2020-03-21,2,Aragón,424
2020-03-22,2,Aragón,532
2020-03-23,2,Aragón,638
2020-03-24,2,Aragón,758
2020-03-25,2,Aragón,907
2020-03-26,2,Aragón,1116
2020-03-27,2,Aragón,1338
2020-03-28,2,Aragón,1592
2020-03-29,2,Aragón,1858
2020-03-30,2,Aragón,2078
2020-03-31,2,Aragón,2272
2020-04-01,2,Aragón,2491
2020-04-02,2,Aragón,2700
2020-04-03,2,Aragón,2889
2020-04-04,2,Aragón,3078
2020-02-27,3,Asturias,0
2020-02-28,3,Asturias,0
2020-02-29,3,Asturias,0
2020-03-01,3,Asturias,1
2020-03-02,3,Asturias,1
2020-03-03,3,Asturias,1
2020-03-04,3,Asturias,2
2020-03-05,3,Asturias,5
2020-03-06,3,Asturias,5
2020-03-07,3,Asturias,5
2020-03-08,3,Asturias,7
2020-03-09,3,Asturias,7
2020-03-10,3,Asturias,22
2020-03-11,3,Asturias,32
2020-03-12,3,Asturias,47
2020-03-13,3,Asturias,67
2020-03-14,3,Asturias,92
2020-03-15,3,Asturias,137
2020-03-16,3,Asturias,177
2020-03-17,3,Asturias,193
2020-03-18,3,Asturias,242
2020-03-19,3,Asturias,292
2020-03-20,3,Asturias,344
2020-03-21,3,Asturias,486
2020-03-22,3,Asturias,545
2020-03-23,3,Asturias,594
2020-03-24,3,Asturias,662
2020-03-25,3,Asturias,779
2020-03-26,3,Asturias,841
2020-03-27,3,Asturias,900
2020-03-28,3,Asturias,1004
2020-03-29,3,Asturias,1088
2020-03-30,3,Asturias,1158
2020-03-31,3,Asturias,1236
2020-04-01,3,Asturias,1322
2020-04-02,3,Asturias,1384
2020-04-03,3,Asturias,1433
2020-04-04,3,Asturias,1522
2020-02-27,4,Baleares,1
2020-02-28,4,Baleares,1
2020-02-29,4,Baleares,2
2020-03-01,4,Baleares,2
2020-03-02,4,Baleares,2
2020-03-03,4,Baleares,2
2020-03-04,4,Baleares,5
2020-03-05,4,Baleares,6
2020-03-06,4,Baleares,6
2020-03-07,4,Baleares,6
2020-03-08,4,Baleares,8
2020-03-09,4,Baleares,11
2020-03-10,4,Baleares,13
2020-03-11,4,Baleares,16
2020-03-12,4,Baleares,22
2020-03-13,4,Baleares,30
2020-03-14,4,Baleares,28
2020-03-15,4,Baleares,28
2020-03-16,4,Baleares,73
2020-03-17,4,Baleares,92
2020-03-18,4,Baleares,112
2020-03-19,4,Baleares,169
2020-03-20,4,Baleares,203
2020-03-21,4,Baleares,246
2020-03-22,4,Baleares,331
2020-03-23,4,Baleares,400
2020-03-24,4,Baleares,478
2020-03-25,4,Baleares,562
2020-03-26,4,Baleares,660
2020-03-27,4,Baleares,755
2020-03-28,4,Baleares,862
2020-03-29,4,Baleares,958
2020-03-30,4,Baleares,1000
2020-03-31,4,Baleares,1069
2020-04-01,4,Baleares,1131
2020-04-02,4,Baleares,1204
2020-04-03,4,Baleares,1257
2020-04-04,4,Baleares,1271
2020-02-27,5,Canarias,6
2020-02-28,5,Canarias,6
2020-02-29,5,Canarias,6
2020-03-01,5,Canarias,7
2020-03-02,5,Canarias,7
2020-03-03,5,Canarias,7
2020-03-04,5,Canarias,7
2020-03-05,5,Canarias,8
2020-03-06,5,Canarias,11
2020-03-07,5,Canarias,18
2020-03-08,5,Canarias,17
2020-03-09,5,Canarias,22
2020-03-10,5,Canarias,25
2020-03-11,5,Canarias,37
2020-03-12,5,Canarias,51
2020-03-13,5,Canarias,70
2020-03-14,5,Canarias,90
2020-03-15,5,Canarias,109
2020-03-16,5,Canarias,119
2020-03-17,5,Canarias,148
2020-03-18,5,Canarias,181
2020-03-19,5,Canarias,220
2020-03-20,5,Canarias,287
2020-03-21,5,Canarias,348
2020-03-22,5,Canarias,414
2020-03-23,5,Canarias,481
2020-03-24,5,Canarias,557
2020-03-25,5,Canarias,657
2020-03-26,5,Canarias,784
2020-03-27,5,Canarias,878
2020-03-28,5,Canarias,1025
2020-03-29,5,Canarias,1125
2020-03-30,5,Canarias,1204
2020-03-31,5,Canarias,1262
2020-04-01,5,Canarias,1380
2020-04-02,5,Canarias,1444
2020-04-03,5,Canarias,1490
2020-04-04,5,Canarias,1564
2020-02-27,6,Cantabria,0
2020-02-28,6,Cantabria,0
2020-02-29,6,Cantabria,0
2020-03-01,6,Cantabria,1
2020-03-02,6,Cantabria,10
2020-03-03,6,Cantabria,10
2020-03-04,6,Cantabria,10
2020-03-05,6,Cantabria,10
