fecha,cod_ine,CCAA,total
2020-03-21,1,Andalucía,605
2020-03-22,1,Andalucía,724
2020-03-23,1,Andalucía,865
2020-03-24,1,Andalucía,1132
2020-03-25,1,Andalucía,1433
2020-03-26,1,Andalucía,1626
2020-03-27,1,Andalucía,1843
2020-03-28,1,Andalucía,2106
2020-03-29,1,Andalucía,2294
2020-03-30,1,Andalucía,2671
2020-03-31,1,Andalucía,2867
2020-04-01,1,Andalucía,3147
2020-03-21,2,Aragón,192
2020-03-22,2,Aragón,241
2020-03-23,2,Aragón,298
2020-03-24,2,Aragón,384
2020-03-25,2,Aragón,459
2020-03-26,2,Aragón,562
2020-03-27,2,Aragón,693
2020-03-28,2,Aragón,835
2020-03-29,2,Aragón,835
2020-03-30,2,Aragón,1094
2020-03-31,2,Aragón,1176
2020-04-01,2,Aragón,1234
2020-03-21,3,Asturias,133
2020-03-22,3,Asturias,171
2020-03-23,3,Asturias,194
2020-03-24,3,Asturias,224
2020-03-25,3,Asturias,263
2020-03-26,3,Asturias,300
2020-03-27,3,Asturias,339
2020-03-28,3,Asturias,408
2020-03-29,3,Asturias,466
2020-03-30,3,Asturias,479
2020-03-31,3,Asturias,529
2020-04-01,3,Asturias,590
2020-03-21,4,Baleares,60
2020-03-22,4,Baleares,79
2020-03-23,4,Baleares,87
2020-03-24,4,Baleares,127
2020-03-25,4,Baleares,164
2020-03-26,4,Baleares,205
2020-03-27,4,Baleares,237
2020-03-28,4,Baleares,283
2020-03-29,4,Baleares,345
2020-03-30,4,Baleares,353
2020-03-31,4,Baleares,399
2020-04-01,4,Baleares,468
2020-03-21,5,Canarias,139
2020-03-22,5,Canarias,150
2020-03-23,5,Canarias,172
2020-03-24,5,Canarias,207
2020-03-25,5,Canarias,235
2020-03-26,5,Canarias,279
2020-03-27,5,Canarias,328
2020-03-28,5,Canarias,377
2020-03-29,5,Canarias,425
2020-03-30,5,Canarias,444
2020-03-31,5,Canarias,483
2020-04-01,5,Canarias,532
2020-03-21,6,Cantabria,92
2020-03-22,6,Cantabria,116
2020-03-23,6,Cantabria,157
2020-03-24,6,Cantabria,200
2020-03-25,6,Cantabria,241
2020-03-26,6,Cantabria,300
2020-03-27,6,Cantabria,355
2020-03-28,6,Cantabria,406
2020-03-29,6,Cantabria,449
2020-03-30,6,Cantabria,481
