fecha,cod_ine,CCAA,total
2020-03-04,1,Andalucía,1
2020-03-05,1,Andalucía,1
2020-03-06,1,Andalucía,1
2020-03-09,1,Andalucía,1
2020-03-10,1,Andalucía,1
2020-03-11,1,Andalucía,3
2020-03-12,1,Andalucía,4
2020-03-13,1,Andalucía,8
2020-03-16,1,Andalucía,11
2020-03-17,1,Andalucía,13
2020-03-18,1,Andalucía,21
2020-03-19,1,Andalucía,25
2020-03-20,1,Andalucía,38
2020-03-21,1,Andalucía,53
2020-03-22,1,Andalucía,55
2020-03-23,1,Andalucía,77
2020-03-24,1,Andalucía,102
2020-03-25,1,Andalucía,116
2020-03-26,1,Andalucía,134
2020-03-27,1,Andalucía,148
2020-03-28,1,Andalucía,172
2020-03-29,1,Andalucía,201
2020-03-04,2,Aragón,0
2020-03-05,2,Aragón,1
2020-03-06,2,Aragón,1
2020-03-09,2,Aragón,1
2020-03-10,2,Aragón,3
2020-03-11,2,Aragón,3
2020-03-12,2,Aragón,3
2020-03-13,2,Aragón,3
2020-03-16,2,Aragón,7
2020-03-17,2,Aragón,9
2020-03-18,2,Aragón,9
2020-03-19,2,Aragón,14
2020-03-20,2,Aragón,28
2020-03-21,2,Aragón,33
2020-03-22,2,Aragón,45
2020-03-23,2,Aragón,52
2020-03-24,2,Aragón,66
2020-03-25,2,Aragón,75
2020-03-26,2,Aragón,93
2020-03-27,2,Aragón,114
2020-03-28,2,Aragón,124
2020-03-29,2,Aragón,124
2020-03-04,3,Asturias,1
2020-03-05,3,Asturias,2
2020-03-06,3,Asturias,2
2020-03-09,3,Asturias,2
2020-03-10,3,Asturias,2
2020-03-11,3,Asturias,2
2020-03-12,3,Asturias,2
2020-03-13,3,Asturias,2
2020-03-16,3,Asturias,3
2020-03-17,3,Asturias,5
2020-03-18,3,Asturias,5
2020-03-19,3,Asturias,6
2020-03-20,3,Asturias,7
2020-03-21,3,Asturias,12
2020-03-22,3,Asturias,15
2020-03-23,3,Asturias,22
2020-03-24,3,Asturias,23
2020-03-25,3,Asturias,29
2020-03-26,3,Asturias,34
2020-03-27,3,Asturias,47
2020-03-28,3,Asturias,50
2020-03-29,3,Asturias,57
2020-03-04,4,Baleares,0
2020-03-05,4,Baleares,0
2020-03-06,4,Baleares,0
2020-03-09,4,Baleares,0
2020-03-10,4,Baleares,1
2020-03-11,4,Baleares,1
2020-03-12,4,Baleares,2
2020-03-13,4,Baleares,2
2020-03-16,4,Baleares,4
2020-03-17,4,Baleares,4
2020-03-18,4,Baleares,4
2020-03-19,4,Baleares,7
2020-03-20,4,Baleares,10
2020-03-21,4,Baleares,14
2020-03-22,4,Baleares,14
2020-03-23,4,Baleares,27
2020-03-24,4,Baleares,35
2020-03-25,4,Baleares,40
2020-03-26,4,Baleares,43
2020-03-27,4,Baleares,46
2020-03-28,4,Baleares,59
2020-03-29,4,Baleares,71
2020-03-04,5,Canarias,0
2020-03-05,5,Canarias,0
2020-03-06,5,Canarias,0
2020-03-09,5,Canarias,0
2020-03-10,5,Canarias,1
2020-03-11,5,Canarias,1
2020-03-12,5,Canarias,3
2020-03-13,5,Canarias,2
2020-03-16,5,Canarias,9
2020-03-17,5,Canarias,13
2020-03-18,5,Canarias,17
2020-03-19,5,Canarias,23
2020-03-20,5,Canarias,25
2020-03-21,5,Canarias,29
2020-03-22,5,Canarias,32
2020-03-23,5,Canarias,32
2020-03-24,5,Canarias,36
2020-03-25,5,Canarias,43
2020-03-26,5,Canarias,45
2020-03-27,5,Canarias,61
2020-03-28,5,Canarias,68
2020-03-29,5,Canarias,78
2020-03-04,6,Cantabria,0
2020-03-05,6,Cantabria,0
2020-03-06,6,Cantabria,0
2020-03-09,6,Cantabria,0
2020-03-10,6,Cantabria,0
2020-03-11,6,Cantabria,0
2020-03-12,6,Cantabria,0
2020-03-13,6,Cantabria,0
2020-03-16,6,Cantabria,2
2020-03-17,6,Cantabria,2
2020-03-18,6,Cantabria,3
2020-03-19,6,Cantabria,4
2020-03-20,6,Cantabria,7
