date,province,ccaa,new_cases,activos,hospitalized,intensive_care,deceased,cases_accumulated,recovered,source,comments
2020-02-24,Araba/Álava,País Vasco,0.0,,,,,0.0,,https://www.euskadi.eus/contenidos/informacion/boletin_coronavirus/es_def/adjuntos/3_abril_Boletin.pdf,
2020-02-24,Bizkaia,País Vasco,0.0,,,,,0.0,,https://www.euskadi.eus/contenidos/informacion/boletin_coronavirus/es_def/adjuntos/3_abril_Boletin.pdf,
2020-02-24,Gipuzkoa,País Vasco,0.0,,,,,0.0,,https://www.euskadi.eus/contenidos/informacion/boletin_coronavirus/es_def/adjuntos/3_abril_Boletin.pdf,
2020-02-25,Araba/Álava,País Vasco,0.0,,,,,0.0,,https://www.euskadi.eus/contenidos/informacion/boletin_coronavirus/es_def/adjuntos/3_abril_Boletin.pdf,
2020-02-25,Bizkaia,País Vasco,0.0,,,,,0.0,,https://www.euskadi.eus/contenidos/informacion/boletin_coronavirus/es_def/adjuntos/3_abril_Boletin.pdf,
2020-02-25,Gipuzkoa,País Vasco,0.0,,,,,0.0,,https://www.euskadi.eus/contenidos/informacion/boletin_coronavirus/es_def/adjuntos/3_abril_Boletin.pdf,
2020-02-26,Araba/Álava,País Vasco,0.0,,,,,0.0,,https://www.euskadi.eus/contenidos/informacion/boletin_coronavirus/es_def/adjuntos/3_abril_Boletin.pdf,
2020-02-26,Bizkaia,País Vasco,0.0,,,,,0.0,,https://www.euskadi.eus/contenidos/informacion/boletin_coronavirus/es_def/adjuntos/3_abril_Boletin.pdf,
2020-02-26,Gipuzkoa,País Vasco,0.0,,,,,0.0,,https://www.euskadi.eus/contenidos/informacion/boletin_coronavirus/es_def/adjuntos/3_abril_Boletin.pdf,
2020-02-27,Asturias,"Asturias, Principado de",,,,,,0.0,,https://github.com/datadista/datasets/tree/master/COVID%2019 de Ministerio de Sanidad,
2020-02-27,"Balears, Illes","Balears, Illes",,,,,,1.0,,https://github.com/datadista/datasets/tree/master/COVID%2019 de Ministerio de Sanidad,
2020-02-27,Cantabria,Cantabria,,,,,,0.0,,https://github.com/datadista/datasets/tree/master/COVID%2019 de Ministerio de Sanidad,
2020-02-27,Ceuta,Ceuta,,,,,,0.0,,https://github.com/datadista/datasets/tree/master/COVID%2019 de Ministerio de Sanidad,
2020-02-27,Madrid,"Madrid, Comunidad de",,,,,,4.0,,,
2020-02-27,Melilla,Melilla,,,,,,0.0,,https://github.com/datadista/datasets/tree/master/COVID%2019 de Ministerio de Sanidad,
2020-02-27,Murcia,"Murcia, Región de",,,,,,0.0,,https://github.com/datadista/datasets/tree/master/COVID%2019 de Ministerio de Sanidad,
2020-02-27,Navarra,"Navarra, Comunidad Foral de",,,,,,0.0,,https://github.com/datadista/datasets/tree/master/COVID%2019 de Ministerio de Sanidad,
2020-02-27,"Rioja, La","Rioja, La",,,,,,0.0,,https://github.com/datadista/datasets/tree/master/COVID%2019 de Ministerio de Sanidad,
2020-02-27,Araba/Álava,País Vasco,0.0,,,,,0.0,,https://www.euskadi.eus/contenidos/informacion/boletin_coronavirus/es_def/adjuntos/3_abril_Boletin.pdf,
2020-02-27,Bizkaia,País Vasco,0.0,,,,,0.0,,https://www.euskadi.eus/contenidos/informacion/boletin_coronavirus/es_def/adjuntos/3_abril_Boletin.pdf,
2020-02-27,Gipuzkoa,País Vasco,0.0,,,,,0.0,,https://www.euskadi.eus/contenidos/informacion/boletin_coronavirus/es_def/adjuntos/3_abril_Boletin.pdf,
2020-02-28,Asturias,"Asturias, Principado de",,,,,,0.0,,https://github.com/datadista/datasets/tree/master/COVID%2019 de Ministerio de Sanidad,
2020-02-28,"Balears, Illes","Balears, Illes",,,,,,1.0,,https://github.com/datadista/datasets/tree/master/COVID%2019 de Ministerio de Sanidad,
2020-02-28,Cantabria,Cantabria,,,,,,0.0,,https://github.com/datadista/datasets/tree/master/COVID%2019 de Ministerio de Sanidad,
2020-02-28,Ceuta,Ceuta,,,,,,0.0,,https://github.com/datadista/datasets/tree/master/COVID%2019 de Ministerio de Sanidad,
2020-02-28,Madrid,"Madrid, Comunidad de",,,,,,5.0,,https://www.epdata.es/datos/coronavirus-china-datos-graficos/498,
2020-02-28,Melilla,Melilla,,,,,,0.0,,https://github.com/datadista/datasets/tree/master/COVID%2019 de Ministerio de Sanidad,
2020-02-28,Murcia,"Murcia, Región de",,,,,,0.0,,https://github.com/datadista/datasets/tree/master/COVID%2019 de Ministerio de Sanidad,
2020-02-28,Navarra,"Navarra, Comunidad Foral de",,,,,,0.0,,https://github.com/datadista/datasets/tree/master/COVID%2019 de Ministerio de Sanidad,
2020-02-28,"Rioja, La","Rioja, La",,,,,,0.0,,https://github.com/datadista/datasets/tree/master/COVID%2019 de Ministerio de Sanidad,
2020-02-28,Araba/Álava,País Vasco,0.0,,,,,0.0,,https://www.euskadi.eus/contenidos/informacion/boletin_coronavirus/es_def/adjuntos/3_abril_Boletin.pdf,
2020-02-28,Bizkaia,País Vasco,0.0,,,,,0.0,,https://www.euskadi.eus/contenidos/informacion/boletin_coronavirus/es_def/adjuntos/3_abril_Boletin.pdf,
2020-02-28,Gipuzkoa,País Vasco,0.0,,,,,0.0,,https://www.euskadi.eus/contenidos/informacion/boletin_coronavirus/es_def/adjuntos/3_abril_Boletin.pdf,
2020-02-29,Girona,Cataluña,,,,,,1.0,,https://github.com/nachotronic/covid19/blob/master/casos_girona.csv,
2020-02-29,Araba/Álava,País Vasco,1.0,,,,,1.0,,https://www.euskadi.eus/contenidos/informacion/boletin_coronavirus/es_def/adjuntos/3_abril_Boletin.pdf,
2020-02-29,Bizkaia,País Vasco,0.0,,,,,0.0,,https://www.euskadi.eus/contenidos/informacion/boletin_coronavirus/es_def/adjuntos/3_abril_Boletin.pdf,
2020-02-29,Gipuzkoa,País Vasco,0.0,,,,,0.0,,https://www.euskadi.eus/contenidos/informacion/boletin_coronavirus/es_def/adjuntos/3_abril_Boletin.pdf,
2020-03-01,Girona,Cataluña,,,,,,3.0,,https://github.com/nachotronic/covid19/blob/master/casos_girona.csv,
2020-03-01,Badajoz,Extremadura,2.0,,,0.0,0.0,2.0,0.0,https://www.hoy.es/extremadura/sanidad-confirma-coronavirus-20200301102100-nt.html,
2020-03-01,Cáceres,Extremadura,2.0,,,0.0,0.0,2.0,0.0,https://www.hoy.es/extremadura/sanidad-confirma-coronavirus-20200301102100-nt.html,
2020-03-01,Madrid,"Madrid, Comunidad de",,,,,,15.0,,https://www.epdata.es/datos/coronavirus-china-datos-graficos/498,
2020-03-01,Araba/Álava,País Vasco,1.0,,,,,2.0,,https://www.euskadi.eus/contenidos/informacion/boletin_coronavirus/es_def/adjuntos/3_abril_Boletin.pdf,
2020-03-01,Bizkaia,País Vasco,0.0,,,,,0.0,,https://www.euskadi.eus/contenidos/informacion/boletin_coronavirus/es_def/adjuntos/3_abril_Boletin.pdf,
2020-03-01,Gipuzkoa,País Vasco,0.0,,,,,0.0,,https://www.euskadi.eus/contenidos/informacion/boletin_coronavirus/es_def/adjuntos/3_abril_Boletin.pdf,
2020-03-02,Asturias,"Asturias, Principado de",,,,,,1.0,,https://github.com/datadista/datasets/tree/master/COVID%2019 de Ministerio de Sanidad,
2020-03-02,"Balears, Illes","Balears, Illes",,,,,,2.0,,https://github.com/datadista/datasets/tree/master/COVID%2019 de Ministerio de Sanidad,
2020-03-02,Cantabria,Cantabria,,,,,,10.0,,https://github.com/datadista/datasets/tree/master/COVID%2019 de Ministerio de Sanidad,
2020-03-02,Girona,Cataluña,,,,,,4.0,,https://github.com/nachotronic/covid19/blob/master/casos_girona.csv,
2020-03-02,Ceuta,Ceuta,,,,,,0.0,,https://github.com/datadista/datasets/tree/master/COVID%2019 de Ministerio de Sanidad,
2020-03-02,Badajoz,Extremadura,2.0,,,0.0,0.0,4.0,0.0,http://www.juntaex.es/comunicacion/noticia?idPub=29831#.XnOS0XJ7mM8,
2020-03-02,Cáceres,Extremadura,0.0,,,0.0,0.0,2.0,0.0,http://www.juntaex.es/comunicacion/noticia?idPub=29831#.XnOS0XJ7mM9,
2020-03-02,Madrid,"Madrid, Comunidad de",,,,,,29.0,,https://www.epdata.es/datos/coronavirus-china-datos-graficos/498,
2020-03-02,Melilla,Melilla,,,,,,0.0,,https://github.com/datadista/datasets/tree/master/COVID%2019 de Ministerio de Sanidad,
2020-03-02,Murcia,"Murcia, Región de",,,,,,0.0,,https://github.com/datadista/datasets/tree/master/COVID%2019 de Ministerio de Sanidad,
2020-03-02,Navarra,"Navarra, Comunidad Foral de",,,,,,1.0,,https://github.com/datadista/datasets/tree/master/COVID%2019 de Ministerio de Sanidad,
2020-03-02,"Rioja, La","Rioja, La",,,,,,1.0,,https://github.com/datadista/datasets/tree/master/COVID%2019 de Ministerio de Sanidad,
2020-03-02,Araba/Álava,País Vasco,0.0,,,,,2.0,,https://www.euskadi.eus/contenidos/informacion/boletin_coronavirus/es_def/adjuntos/3_abril_Boletin.pdf,
2020-03-02,Bizkaia,País Vasco,0.0,,,,,0.0,,https://www.euskadi.eus/contenidos/informacion/boletin_coronavirus/es_def/adjuntos/3_abril_Boletin.pdf,
2020-03-02,Gipuzkoa,País Vasco,0.0,,,,,0.0,,https://www.euskadi.eus/contenidos/informacion/boletin_coronavirus/es_def/adjuntos/3_abril_Boletin.pdf,
2020-03-03,Asturias,"Asturias, Principado de",,,,,0.0,1.0,,https://github.com/datadista/datasets/tree/master/COVID%2019 de Ministerio de Sanidad,
2020-03-03,"Balears, Illes","Balears, Illes",,,,,0.0,2.0,,https://github.com/datadista/datasets/tree/master/COVID%2019 de Ministerio de Sanidad,
2020-03-03,Cantabria,Cantabria,,,,,0.0,10.0,,https://github.com/datadista/datasets/tree/master/COVID%2019 de Ministerio de Sanidad,
2020-03-03,Ceuta,Ceuta,,,,,0.0,0.0,,https://github.com/datadista/datasets/tree/master/COVID%2019 de Ministerio de Sanidad,
2020-03-03,Badajoz,Extremadura,0.0,,,0.0,0.0,4.0,0.0,,
2020-03-03,Cáceres,Extremadura,0.0,,,0.0,0.0,2.0,0.0,,
2020-03-03,Madrid,"Madrid, Comunidad de",,,,,,49.0,,https://www.epdata.es/datos/coronavirus-china-datos-graficos/498,
2020-03-03,Melilla,Melilla,,,,,0.0,0.0,,https://github.com/datadista/datasets/tree/master/COVID%2019 de Ministerio de Sanidad,
2020-03-03,Murcia,"Murcia, Región de",,,,,0.0,0.0,,https://github.com/datadista/datasets/tree/master/COVID%2019 de Ministerio de Sanidad,
2020-03-03,Navarra,"Navarra, Comunidad Foral de",,,,,0.0,1.0,,https://github.com/datadista/datasets/tree/master/COVID%2019 de Ministerio de Sanidad,
2020-03-03,"Rioja, La","Rioja, La",,,,,0.0,3.0,,https://github.com/datadista/datasets/tree/master/COVID%2019 de Ministerio de Sanidad,
2020-03-03,Zaragoza,Aragón,,,,0.0,0.0,0.0,,http://www.aragonhoy.net/index.php/mod.noticias/mem.detalle/relmenu.9/id.256887,
2020-03-03,Araba/Álava,País Vasco,2.0,,,,,4.0,,https://www.euskadi.eus/contenidos/informacion/boletin_coronavirus/es_def/adjuntos/3_abril_Boletin.pdf,
2020-03-03,Bizkaia,País Vasco,2.0,,,,,2.0,,https://www.euskadi.eus/contenidos/informacion/boletin_coronavirus/es_def/adjuntos/3_abril_Boletin.pdf,
2020-03-03,Gipuzkoa,País Vasco,2.0,,,,,2.0,,https://www.euskadi.eus/contenidos/informacion/boletin_coronavirus/es_def/adjuntos/3_abril_Boletin.pdf,
2020-03-04,Asturias,"Asturias, Principado de",,,,1.0,0.0,2.0,,https://github.com/datadista/datasets/tree/master/COVID%2019 de Ministerio de Sanidad,
2020-03-04,"Balears, Illes","Balears, Illes",,,,0.0,0.0,5.0,,https://github.com/datadista/datasets/tree/master/COVID%2019 de Ministerio de Sanidad,
2020-03-04,Cantabria,Cantabria,,,,0.0,0.0,10.0,,https://github.com/datadista/datasets/tree/master/COVID%2019 de Ministerio de Sanidad,
2020-03-04,Girona,Cataluña,,,,,,6.0,,https://github.com/nachotronic/covid19/blob/master/casos_girona.csv,
2020-03-04,Ceuta,Ceuta,,,,0.0,0.0,0.0,,https://github.com/datadista/datasets/tree/master/COVID%2019 de Ministerio de Sanidad,
2020-03-04,Badajoz,Extremadura,0.0,,,0.0,0.0,4.0,0.0,,
2020-03-04,Cáceres,Extremadura,0.0,,,0.0,0.0,2.0,0.0,,
2020-03-04,Madrid,"Madrid, Comunidad de",,,,2.0,0.0,70.0,,https://www.epdata.es/datos/coronavirus-china-datos-graficos/498,
2020-03-04,Melilla,Melilla,,,,0.0,0.0,0.0,,https://github.com/datadista/datasets/tree/master/COVID%2019 de Ministerio de Sanidad,
2020-03-04,Murcia,"Murcia, Región de",,,,0.0,0.0,0.0,,https://github.com/datadista/datasets/tree/master/COVID%2019 de Ministerio de Sanidad,
2020-03-04,Navarra,"Navarra, Comunidad Foral de",,,,1.0,0.0,3.0,,https://github.com/datadista/datasets/tree/master/COVID%2019 de Ministerio de Sanidad,
2020-03-04,"Rioja, La","Rioja, La",,,,0.0,0.0,7.0,,https://github.com/datadista/datasets/tree/master/COVID%2019 de Ministerio de Sanidad,
2020-03-04,Zaragoza,Aragón,1.0,,,0.0,0.0,1.0,,http://www.aragonhoy.net/index.php/mod.noticias/mem.detalle/relmenu.9/id.256887,
2020-03-04,Araba/Álava,País Vasco,2.0,,,,,6.0,,https://www.euskadi.eus/contenidos/informacion/boletin_coronavirus/es_def/adjuntos/3_abril_Boletin.pdf,
2020-03-04,Bizkaia,País Vasco,1.0,,,,,3.0,,https://www.euskadi.eus/contenidos/informacion/boletin_coronavirus/es_def/adjuntos/3_abril_Boletin.pdf,
2020-03-04,Gipuzkoa,País Vasco,0.0,,,,,2.0,,https://www.euskadi.eus/contenidos/informacion/boletin_coronavirus/es_def/adjuntos/3_abril_Boletin.pdf,
2020-03-05,Asturias,"Asturias, Principado de",,,,2.0,0.0,5.0,,https://github.com/datadista/datasets/tree/master/COVID%2019 de Ministerio de Sanidad,
2020-03-05,"Balears, Illes","Balears, Illes",,,,0.0,0.0,6.0,,https://github.com/datadista/datasets/tree/master/COVID%2019 de Ministerio de Sanidad,
2020-03-05,Cantabria,Cantabria,,,,0.0,0.0,10.0,,https://github.com/datadista/datasets/tree/master/COVID%2019 de Ministerio de Sanidad,
2020-03-05,Ceuta,Ceuta,,,,0.0,0.0,0.0,,https://github.com/datadista/datasets/tree/master/COVID%2019 de Ministerio de Sanidad,
2020-03-05,Badajoz,Extremadura,0.0,,,0.0,0.0,4.0,0.0,http://www.juntaex.es/comunicacion/noticia?idPub=29866#.XnOUWnJ7mM8,
2020-03-05,Cáceres,Extremadura,0.0,,,0.0,0.0,2.0,0.0,http://www.juntaex.es/comunicacion/noticia?idPub=29866#.XnOUWnJ7mM9,
2020-03-05,Madrid,"Madrid, Comunidad de",,,,2.0,1.0,90.0,,https://www.epdata.es/datos/coronavirus-china-datos-graficos/498,
2020-03-05,Melilla,Melilla,,,,0.0,0.0,0.0,,https://github.com/datadista/datasets/tree/master/COVID%2019 de Ministerio de Sanidad,
2020-03-05,Murcia,"Murcia, Región de",,,,0.0,0.0,0.0,,https://github.com/datadista/datasets/tree/master/COVID%2019 de Ministerio de Sanidad,
2020-03-05,Navarra,"Navarra, Comunidad Foral de",,,,1.0,0.0,3.0,,https://github.com/datadista/datasets/tree/master/COVID%2019 de Ministerio de Sanidad,
2020-03-05,"Rioja, La","Rioja, La",,,,0.0,0.0,11.0,,https://github.com/datadista/datasets/tree/master/COVID%2019 de Ministerio de Sanidad,
2020-03-05,El Hierro,Canarias,,,,,0.0,0.0,,https://www3.gobiernodecanarias.org/noticias/la-consejeria-de-sanidad-confirma-un-total-de-9-casos-activos-de-coronavirus-covid-19/,
2020-03-05,Fuerteventura,Canarias,,,,,0.0,0.0,,https://www3.gobiernodecanarias.org/noticias/la-consejeria-de-sanidad-confirma-un-total-de-9-casos-activos-de-coronavirus-covid-19/,
2020-03-05,Gran Canaria,Canarias,,,,,0.0,0.0,,https://www3.gobiernodecanarias.org/noticias/la-consejeria-de-sanidad-confirma-un-total-de-9-casos-activos-de-coronavirus-covid-19/,
2020-03-05,La Gomera,Canarias,,,,,0.0,1.0,,https://www3.gobiernodecanarias.org/noticias/la-consejeria-de-sanidad-confirma-un-total-de-9-casos-activos-de-coronavirus-covid-19/,
2020-03-05,La Palma,Canarias,,,,,0.0,0.0,,https://www3.gobiernodecanarias.org/noticias/la-consejeria-de-sanidad-confirma-un-total-de-9-casos-activos-de-coronavirus-covid-19/,
2020-03-05,Lanzarote,Canarias,,,,,0.0,0.0,,https://www3.gobiernodecanarias.org/noticias/la-consejeria-de-sanidad-confirma-un-total-de-9-casos-activos-de-coronavirus-covid-19/,
2020-03-05,Tenerife,Canarias,,,,,0.0,7.0,,https://www3.gobiernodecanarias.org/noticias/la-consejeria-de-sanidad-confirma-un-total-de-9-casos-activos-de-coronavirus-covid-19/,
2020-03-05,Zaragoza,Aragón,,,,,0.0,6.0,,http://www.aragonhoy.net/index.php/mod.noticias/mem.detalle/relmenu.9/id.256994,
2020-03-05,Araba/Álava,País Vasco,16.0,,,,,22.0,,https://www.euskadi.eus/contenidos/informacion/boletin_coronavirus/es_def/adjuntos/3_abril_Boletin.pdf,
2020-03-05,Bizkaia,País Vasco,3.0,,,,,6.0,,https://www.euskadi.eus/contenidos/informacion/boletin_coronavirus/es_def/adjuntos/3_abril_Boletin.pdf,
2020-03-05,Gipuzkoa,País Vasco,9.0,,,,,2.0,,https://www.euskadi.eus/contenidos/informacion/boletin_coronavirus/es_def/adjuntos/3_abril_Boletin.pdf,
2020-03-06,Asturias,"Asturias, Principado de",,,,2.0,0.0,5.0,,https://github.com/datadista/datasets/tree/master/COVID%2019 de Ministerio de Sanidad,
2020-03-06,"Balears, Illes","Balears, Illes",,,,0.0,0.0,6.0,,https://github.com/datadista/datasets/tree/master/COVID%2019 de Ministerio de Sanidad,
2020-03-06,Cantabria,Cantabria,,,,0.0,0.0,10.0,,https://github.com/datadista/datasets/tree/master/COVID%2019 de Ministerio de Sanidad,
2020-03-06,Ceuta,Ceuta,,,,0.0,0.0,0.0,,https://github.com/datadista/datasets/tree/master/COVID%2019 de Ministerio de Sanidad,
2020-03-06,Badajoz,Extremadura,0.0,,,0.0,0.0,4.0,0.0,http://www.juntaex.es/comunicacion/noticia?idPub=29875#.XnOUlHJ7mM8,
2020-03-06,Cáceres,Extremadura,0.0,,,0.0,0.0,2.0,0.0,http://www.juntaex.es/comunicacion/noticia?idPub=29875#.XnOUlHJ7mM8,
2020-03-06,Madrid,"Madrid, Comunidad de",,,,2.0,2.0,137.0,,https://www.epdata.es/datos/coronavirus-china-datos-graficos/498,
2020-03-06,Melilla,Melilla,,,,0.0,0.0,0.0,,https://github.com/datadista/datasets/tree/master/COVID%2019 de Ministerio de Sanidad,
2020-03-06,Murcia,"Murcia, Región de",,,,0.0,0.0,0.0,,https://github.com/datadista/datasets/tree/master/COVID%2019 de Ministerio de Sanidad,
2020-03-06,Navarra,"Navarra, Comunidad Foral de",,,,1.0,0.0,3.0,,https://github.com/datadista/datasets/tree/master/COVID%2019 de Ministerio de Sanidad,
2020-03-06,"Rioja, La","Rioja, La",,, ,0.0,0.0,29.0,,https://github.com/datadista/datasets/tree/master/COVID%2019 de Ministerio de Sanidad,
2020-03-06,El Hierro,Canarias,0.0,,,,0.0,0.0,,https://www3.gobiernodecanarias.org/noticias/la-consejeria-de-sanidad-constata-15-casos-activos-de-coronavirus-covid-19-en-canarias-y-tres-altas/,
2020-03-06,Fuerteventura,Canarias,0.0,,,,0.0,0.0,,https://www3.gobiernodecanarias.org/noticias/la-consejeria-de-sanidad-constata-15-casos-activos-de-coronavirus-covid-19-en-canarias-y-tres-altas/,
2020-03-06,Gran Canaria,Canarias,1.0,,,,0.0,1.0,,https://www3.gobiernodecanarias.org/noticias/la-consejeria-de-sanidad-constata-15-casos-activos-de-coronavirus-covid-19-en-canarias-y-tres-altas/,
